areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,newVirusTestsByPublishDate
K02000001,United Kingdom,overview,25/06/2021,4699868,128659,44080358,850807
K02000001,United Kingdom,overview,24/06/2021,4684572,128637,43877861,1068088
K02000001,United Kingdom,overview,23/06/2021,4667870,128614,43656327,1150834
K02000001,United Kingdom,overview,22/06/2021,4651988,128606,43448680,821585
K02000001,United Kingdom,overview,21/06/2021,4640507,128593,43148843,1019739
K02000001,United Kingdom,overview,20/06/2021,4630040,128577,43127763,1149112
K02000001,United Kingdom,overview,19/06/2021,4620968,128552,42964013,591871
K02000001,United Kingdom,overview,18/06/2021,4610893,128529,42683772,791219
K02000001,United Kingdom,overview,17/06/2021,4600623,128517,42460632,1034685
K02000001,United Kingdom,overview,16/06/2021,4589814,128511,42216654,1101741
K02000001,United Kingdom,overview,15/06/2021,4581006,128498,42021089,777277
K02000001,United Kingdom,overview,14/06/2021,4573419,128477,41831056,930123
K02000001,United Kingdom,overview,13/06/2021,4565813,128467,41698429,1052222
K02000001,United Kingdom,overview,12/06/2021,4558494,128457,41551201,533809
K02000001,United Kingdom,overview,11/06/2021,4550944,128443,41297016,736654
K02000001,United Kingdom,overview,10/06/2021,4542986,128437,41088485,945090
K02000001,United Kingdom,overview,09/06/2021,4535754,128426,40886878,1085999
K02000001,United Kingdom,overview,08/06/2021,4528442,128417,40710319,727274
K02000001,United Kingdom,overview,07/06/2021,4522476,128407,40573517,928425
K02000001,United Kingdom,overview,06/06/2021,4516892,128401,40460576,1242068
K02000001,United Kingdom,overview,05/06/2021,4511669,128393,40333231,488842
K02000001,United Kingdom,overview,04/06/2021,4506018,128386,40129618,670715
K02000001,United Kingdom,overview,03/06/2021,4499878,128373,39949694,806272
K02000001,United Kingdom,overview,02/06/2021,4494699,128361,39758428,854697
K02000001,United Kingdom,overview,01/06/2021,4490438,128348,39585665,664849
K02000001,United Kingdom,overview,31/05/2021,4487339,128344,39477158,602019
K02000001,United Kingdom,overview,30/05/2021,4484056,128336,39384055,625777
K02000001,United Kingdom,overview,29/05/2021,4480945,128327,39259168,488274
K02000001,United Kingdom,overview,28/05/2021,4477705,128318,39075642,679217
K02000001,United Kingdom,overview,27/05/2021,4473677,128310,38871200,959007
K02000001,United Kingdom,overview,26/05/2021,4470297,128301,38614683,1132061
K02000001,United Kingdom,overview,25/05/2021,4467310,128288,38378564,741912
K02000001,United Kingdom,overview,24/05/2021,4464900,128281,38192417,946830
K02000001,United Kingdom,overview,23/05/2021,4462538,128272,38070038,1165801
K02000001,United Kingdom,overview,22/05/2021,4460446,128263,37943681,499089
K02000001,United Kingdom,overview,21/05/2021,4457923,128258,37738271,715414
K02000001,United Kingdom,overview,20/05/2021,4455221,128248,37518614,982099
K02000001,United Kingdom,overview,19/05/2021,4452527,128242,37250363,1180660
